id,name,empire,reign_start,reign_end,capital,major_trade_regions,key_exports,trade_partners,maritime_power,latitude,longitude,economic_impact_summary,trade_route_coordinates,key_ports,trade_policy_keywords,sources,portrait_url
1,Isabella I of Castile,Castile (Spain),1474,1504,Toledo,Atlantic Ocean; Iberia; Americas,Silver; Wool; Agricultural goods,Portugal; Italian states; New World colonies,Yes,39.8628,-4.0273,Sponsored transatlantic voyages initiating Atlantic trade expansion and Spanish colonial commerce.,"39.8628,-4.0273|36.1408,-5.3536|28.0,-35.0|18.5,-66.1|19.4,-99.1",Seville; Cadiz; Santo Domingo,colonial expansion; Atlantic voyages; royal patronage,Wikipedia,https://commons.wikimedia.org/wiki/Special:FilePath/Isabella%20the%20Catholic.png
2,Elizabeth I,England,1558,1603,London,Atlantic Ocean; North America; East Indies,Textiles; Naval goods; Colonial commodities,Netherlands; Ottoman Empire; East India Company,Yes,51.5074,-0.1278,Strengthened maritime trade and authorized the East India Company; laying foundations of British global commerce.,"51.5074,-0.1278|36.1408,-5.3536|24.0,-30.0|12.0,45.0|19.0760,72.8777",London; Plymouth; Surat,charter; privateering; naval expansion,Wikipedia,https://commons.wikimedia.org/wiki/Special:FilePath/Elizabeth%20I%20Darnley%20portrait%20crop.jpg
3,Mary I of England,England,1553,1558,London,Spain; Atlantic Europe,Textiles; Wine; Military supplies,Spain; Habsburg territories,Yes,51.5074,-0.1278,Strengthened Anglo-Spanish alliances influencing European trade and diplomatic-commercial networks.,"51.5074,-0.1278|48.8566,2.3522|43.2965,5.3698|39.4699,-0.3763|40.4168,-3.7038",London; Antwerp; Seville,dynastic alliance; trade diplomacy; port access,Wikipedia,https://commons.wikimedia.org/wiki/Special:FilePath/Anthonis%20Mor%20001.jpg
4,Catherine de Medici,France (Regency Influence),1560,1589,Paris,Mediterranean; Italian states; Northern Europe,Silk; Wine; Luxury goods,Italian states; Spain; Ottoman Empire,Limited,48.8566,2.3522,Influenced political stability which maintained Mediterranean commerce and key alliances.,"48.8566,2.3522|45.7640,4.8357|43.2965,5.3698|41.9028,12.4964|41.0082,28.9784",Marseille; Lyon; Paris,court patronage; alliance building; market stability,Wikipedia,https://commons.wikimedia.org/wiki/Special:FilePath/Catherine%20de%27%20Medici%20by%20Fran%C3%A7ois%20Clouet.jpg
5,Christina of Sweden,Sweden,1632,1654,Stockholm,Baltic Sea; Northern Europe,Iron; Copper; Timber,Netherlands; German states; Poland,Yes,59.3293,18.0686,Consolidated Baltic trade influence and strengthened control over key northern European sea lanes.,"59.3293,18.0686|59.4370,24.7536|56.9496,24.1052|54.3520,18.6466|53.5511,9.9937",Stockholm; Gdansk; Hamburg,tolls; Baltic control; export policy,Wikipedia,https://commons.wikimedia.org/wiki/Special:FilePath/Christina%20of%20Sweden%20by%20S%C3%A9bastien%20Bourdon.jpg
6,Anne of Denmark,Denmark-Norway (Consort Influence),1588,1619,Copenhagen,Baltic Sea; North Sea,Grain; Timber; Naval supplies,England; Scotland; German ports,Yes,55.6761,12.5683,Enhanced maritime alliances influencing Baltic security and North Sea commercial movement.,"55.6761,12.5683|56.1629,10.2039|53.5511,9.9937|52.3702,4.8952|51.5074,-0.1278",Copenhagen; Hamburg; Amsterdam,maritime alliance; port security; naval supply,Wikipedia,https://commons.wikimedia.org/wiki/Special:FilePath/Anne%20of%20Denmark.jpg
7,Catherine I of Russia,Russia,1725,1727,St Petersburg,Baltic Sea; Northern Europe,Grain; Furs; Naval supplies,Sweden; German states; Netherlands,Yes,59.9311,30.3609,Expanded Baltic-facing commercial orientation supporting Russia’s European integration.,"59.9311,30.3609|59.4370,24.7536|56.9496,24.1052|54.6872,25.2797|55.6761,12.5683",St Petersburg; Riga; Stockholm,westernization; Baltic access; naval build-up,Wikipedia,https://commons.wikimedia.org/wiki/Special:FilePath/Portrait-of-Catherine-I%20%281710s%29.jpg
8,Kosem Sultan,Ottoman Empire (Regent),1623,1651,Istanbul,Black Sea; Mediterranean; Silk Road,Silk; Spices; Textiles,Venice; Persia; European merchants,Yes,41.0082,28.9784,Influenced governance supporting strategic Mediterranean and overland commerce across imperial corridors.,"41.0082,28.9784|37.9838,23.7275|40.8518,14.2681|45.4408,12.3155|32.0853,34.7818",Istanbul; Alexandria; Izmir,customs; imperial administration; merchant privileges,Wikipedia,https://commons.wikimedia.org/wiki/Special:FilePath/K%C3%B6sem%20Sultan.jpg
9,Nur Jahan,Mughal Empire,1611,1627,Agra,Indian Ocean; Persia; Central Asia,Textiles; Spices; Indigo,Persia; Ottoman Empire; European traders,Yes,27.1767,78.0081,Exercised authority over trade permits and influenced Indo-Persian commercial expansion.,"27.1767,78.0081|24.8607,67.0011|18.9667,72.8333|12.9716,77.5946|25.2048,55.2708",Surat; Agra; Lahore,trade permits; court influence; luxury textile trade,Wikipedia,https://commons.wikimedia.org/wiki/Special:FilePath/Nur%20Jahan.jpg
10,Queen Kalinyamat,Jepara (Java),1549,1579,Jepara,Indian Ocean; Southeast Asia,Spices; Rice; Maritime goods,Malacca; Portuguese traders; Regional sultanates,Yes,-6.5933,110.6673,Led naval expeditions and strengthened maritime networks resisting external control of sea trade.,"-6.5933,110.6673|-6.2088,106.8456|-2.1896,102.2501|2.1896,102.2501|1.3521,103.8198",Jepara; Malacca; Banten,naval expeditions; anti-monopoly resistance; maritime raids,Wikipedia,
